StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q34_First Click,Q34_Last Click,Q34_Page Submit,Q34_Click Count,Q3,Q36_First Click,Q36_Last Click,Q36_Page Submit,Q36_Click Count,Q10,Q37_First Click,Q37_Last Click,Q37_Page Submit,Q37_Click Count,Q11,Q38_First Click,Q38_Last Click,Q38_Page Submit,Q38_Click Count,Q12,Q39_First Click,Q39_Last Click,Q39_Page Submit,Q39_Click Count,Q13,Q40_First Click,Q40_Last Click,Q40_Page Submit,Q40_Click Count,Q14,Q41_First Click,Q41_Last Click,Q41_Page Submit,Q41_Click Count,Q15,Q42_First Click,Q42_Last Click,Q42_Page Submit,Q42_Click Count,Q16,Q43_First Click,Q43_Last Click,Q43_Page Submit,Q43_Click Count,Q17,Q44_First Click,Q44_Last Click,Q44_Page Submit,Q44_Click Count,Q18,Q45_First Click,Q45_Last Click,Q45_Page Submit,Q45_Click Count,Q19,Q46_First Click,Q46_Last Click,Q46_Page Submit,Q46_Click Count,Q20,Q47_First Click,Q47_Last Click,Q47_Page Submit,Q47_Click Count,Q21,Q48_First Click,Q48_Last Click,Q48_Page Submit,Q48_Click Count,Q22,Q49_First Click,Q49_Last Click,Q49_Page Submit,Q49_Click Count,Q23,Q50_First Click,Q50_Last Click,Q50_Page Submit,Q50_Click Count,Q24,Q51_First Click,Q51_Last Click,Q51_Page Submit,Q51_Click Count,Q25,Q53_First Click,Q53_Last Click,Q53_Page Submit,Q53_Click Count,Q28,Q54_First Click,Q54_Last Click,Q54_Page Submit,Q54_Click Count,Q29,Q55_First Click,Q55_Last Click,Q55_Page Submit,Q55_Click Count,Q30,picture_file
2021-10-20 09:14:39,2021-10-20 10:07:19,0,165.124.85.111,100,3159,1,2021-10-20 10:07:19,R_3MFCt7mWcBDqx9m,,,,,42.05499267578125,-87.695098876953125,anonymous,EN,4.648,4.648,5.84,1,1,3.071,3.071,3.942,1,1,6.791,6.791,7.609,1,2,3.446,3.446,4.649,1,1,5.527,6.317,6.902,2,2,6.259,6.259,7.09,1,2,2.027,2.027,2.839,1,1,4.16,4.16,4.799,1,2,6.21,6.21,6.81,1,2,6.177,6.177,6.887,1,2,2.574,3.222,3.58,2,1,4.816,4.816,5.72,1,2,1.621,1.621,2.421,1,1,2.397,2.397,2.994,1,2,2.199,2.199,3.005,1,2,5.452,5.452,6.117,1,1,3.188,3.188,4.065,1,1,2.798,2.798,3.643,1,2,3.435,3.435,5.355,1,2,5.255,5.255,6.056,1,2,
2021-10-20 09:15:02,2021-10-20 10:07:37,0,165.124.85.50,100,3154,1,2021-10-20 10:07:38,R_1K8tmFKpLeJ9P9F,,,,,42.05499267578125,-87.695098876953125,anonymous,EN,3.964,3.964,7.314,1,2,3.933,3.933,5.963,1,1,0,0,10.008,0,,4.512,4.512,6.173,1,1,6.356,6.356,8.103,1,2,5.968,5.968,7.357,1,2,3.12,3.12,4.578,1,1,4.786,4.786,5.698,1,2,8.631,8.631,10.007,1,2,0.1,5.324,6.84,2,2,2.35,2.35,4.786,1,1,5.463,5.463,6.492,1,2,2.937,2.937,7.528,1,1,3.158,3.158,4.33,1,2,3.801,3.801,5.805,1,2,3.174,3.174,5.388,1,1,3.08,3.08,4.534,1,1,2.785,2.785,3.863,1,2,2.657,2.657,4.078,1,2,3.985,3.985,6.038,1,2,
2021-10-20 16:46:25,2021-10-20 17:08:58,0,165.124.85.50,100,1353,1,2021-10-20 17:08:59,R_SVpu2IIvYTXgUw1,,,,,42.05499267578125,-87.695098876953125,anonymous,EN,2.345,2.345,3.222,1,1,3.71,3.71,4.436,1,1,3.102,3.102,3.724,1,2,3.768,3.768,4.677,1,1,3.094,3.734,4.797,2,2,3.592,3.592,4.286,1,2,2.386,2.386,3.131,1,1,2.365,3.15,3.586,2,2,3.076,3.076,3.715,1,2,3.571,3.571,4.617,1,2,1.785,2.834,3.255,3,1,3.841,3.841,4.639,1,2,2.467,2.467,3.375,1,1,3.276,3.276,4.17,1,2,3.169,3.169,4.062,1,2,4.095,4.095,6.244,1,1,3.727,3.727,4.932,1,1,3.767,5.254,5.768,2,2,4.281,4.281,5.278,1,2,7.802,7.802,8.776,1,2,
2021-10-20 16:51:49,2021-10-20 17:09:52,0,165.124.85.111,100,1082,1,2021-10-20 17:09:52,R_pzran8r9bUScujv,,,,,42.05499267578125,-87.695098876953125,anonymous,EN,5.059,8.493,10.008,3,1,0.496,9.363,10.007,3,1,4.499,6.125,7.209,2,1,3.859,5.873,7.39,3,1,3.116,8.45,10.007,2,2,3.201,8.996,10.106,3,2,6.089,9.187,10.108,3,1,9.076,9.076,10.108,1,2,6.317,6.317,7.785,1,2,3.708,3.708,5.19,1,2,2.175,2.175,3.043,1,1,4.371,4.371,5.776,1,1,3.444,3.444,4.368,1,1,2.817,2.817,3.91,1,1,2.492,2.492,3.312,1,1,3.703,3.703,5.068,1,1,3.519,3.519,4.412,1,1,6.859,6.859,7.569,1,1,5.695,5.695,6.723,1,1,5.6,5.6,6.578,1,2,
2021-10-21 18:53:46,2021-10-21 19:06:32,0,165.124.85.93,100,766,1,2021-10-21 19:06:33,R_2pKzqMYc2wvm7VK,,,,,42.05499267578125,-87.695098876953125,anonymous,EN,3.141,3.141,3.922,1,1,3.463,3.463,4.251,1,1,6.565,6.565,7.786,1,1,6.399,6.399,8.932,1,1,4.121,4.121,4.862,1,2,2.803,2.803,3.495,1,2,3.571,3.571,4.399,1,1,5.887,5.887,6.459,1,2,4.343,4.343,5.019,1,2,4.395,4.395,5.031,1,2,2.322,2.322,2.975,1,1,2.297,2.297,3.037,1,2,3.334,3.334,3.938,1,1,3.707,3.707,4.535,1,2,2.87,2.87,3.862,1,2,5.693,5.693,6.625,1,1,4.202,4.202,4.878,1,1,3.11,3.11,3.771,1,2,2.759,2.759,3.483,1,2,2.823,2.823,3.53,1,2,
2021-10-21 18:49:02,2021-10-21 19:01:09,0,165.124.85.111,98,727,0,2021-10-28 19:01:10,R_xFqs2kr9jZVjw1r,,,,,,,anonymous,EN,2.559,2.559,4.576,1,2,2.882,6.226,6.699,2,1,4.756,4.756,5.696,1,1,5.191,5.191,6.27,1,1,6.805,6.805,7.54,1,1,0,0,10.007,0,,2.006,2.006,3.106,1,1,3.656,3.656,4.935,1,2,6.896,6.896,9.393,1,2,0,0,10.008,0,,2.57,2.57,3.814,1,1,8.076,8.076,8.818,1,2,2.238,2.238,3.65,1,1,5.269,6.261,7.467,2,2,7.409,7.409,8.367,1,2,4.854,4.854,6.355,1,1,3.79,3.79,5.124,1,1,4.713,4.713,6.055,1,2,7.143,7.143,8.556,1,2,8.991,9.775,10.006,2,2,
2021-10-20 16:46:32,2021-10-22 15:28:09,0,165.124.85.74,98,168096,0,2021-10-29 15:28:10,R_3kdFtp0mc49wsIb,,,,,,,anonymous,EN,6.456,6.456,8.973,1,1,5.232,5.232,6.221,1,1,7.568,7.568,8.405,1,2,0,0,28.619,0,,0,0,20.001,0,,9.952,9.952,10.007,1,,0,0,24.297,0,,0,0,10.012,0,,0,0,10.111,0,,0,0,10.013,0,,0,0,10.007,0,,0,0,16.783,0,,0,0,11.988,0,,0,0,11.018,0,,0,0,10.018,0,,0,0,13.797,0,,0,0,11.485,0,,0,0,10.192,0,,0,0,10.008,0,,0,0,10.018,0,,
2021-11-01 15:52:21,2021-11-01 17:10:20,0,165.124.85.50,100,4678,1,2021-11-01 17:10:20,R_1ou2j0YeAxONXyU,,,,,42.05499267578125,-87.695098876953125,anonymous,EN,3.901,3.901,5.718,1,1,3.31,3.31,4.569,1,1,5.561,5.561,6.607,1,2,5.916,5.916,8.458,1,1,7.653,7.653,8.828,1,2,4.865,4.865,6.149,1,1,2.022,2.022,3.053,1,1,5.4,5.4,6.335,1,2,5.45,5.45,6.366,1,2,6.476,6.476,8.067,1,1,1.977,2.809,3.273,2,1,4.268,4.268,5.482,1,1,2.983,2.983,3.87,1,1,4.317,4.317,4.993,1,2,2.807,2.807,3.883,1,1,5.505,5.505,7.212,1,1,6.125,6.125,7.422,1,1,2.716,2.716,4.05,1,1,5.879,5.879,6.716,1,2,0,0,10.017,0,,
2021-11-02 14:16:26,2021-11-02 15:57:33,0,165.124.85.74,100,6067,1,2021-11-02 15:57:34,R_1jOnlNKPV1q3Cdj,,,,,42.05499267578125,-87.695098876953125,anonymous,EN,6.161,6.161,7.758,1,1,3.695,4.735,5.597,2,1,4.509,4.509,5.354,1,2,2.825,2.825,4.854,1,1,7.523,7.523,8.287,1,2,3.471,3.471,4.324,1,2,2.872,2.872,5.246,1,1,3.922,3.922,4.88,1,2,4.207,4.207,5.131,1,2,4.281,4.281,5.693,1,2,2.399,2.399,3.964,1,1,3.789,3.789,4.754,1,2,3.178,3.178,4.384,1,1,4.02,4.02,4.808,1,2,3.257,3.257,4.006,1,2,6.186,6.186,10.112,1,,3.197,3.197,4.122,1,1,3.235,3.235,3.983,1,2,2.094,2.094,2.845,1,2,7.557,7.557,8.572,1,2,
2021-11-02 14:03:57,2021-11-02 16:03:39,0,165.124.85.50,100,7182,1,2021-11-02 16:03:39,R_SDz0c6wyIEhjHON,,,,,42.05499267578125,-87.695098876953125,anonymous,EN,9.28,9.28,10.008,1,1,4.66,4.66,6.262,1,1,6.91,6.91,7.779,1,2,3.048,3.048,4.607,1,1,7.995,7.995,8.85,1,2,8.474,8.474,9.137,1,2,1.982,1.982,2.819,1,1,8.579,8.579,10.113,1,2,9.293,9.293,10.007,1,1,6.33,6.33,7.407,1,2,2.237,2.237,3.313,1,1,5.648,5.648,6.822,1,2,1.628,3.051,3.394,2,1,3.492,6.821,9.802,2,1,0,0,10.011,0,,0,0,10.119,0,,5.3,5.3,6.809,1,1,9.458,9.458,10.007,1,2,4.525,4.525,5.532,1,2,4.844,4.844,5.743,1,2,
